Country,Indicator,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Morocco,"Air transport, passengers carried",4623543,4927341,4930683,7144446,7502696.745,6563646.676,6507408,6976810,7043971,7738637,8667392,8132917
Mozambique,"Air transport, passengers carried",443010,461125,490019,558192,577019.8145,559608.7957,701472,739636.7441,676028,632965,569211,540124
Myanmar,"Air transport, passengers carried",1662866,1637923,1527346,924207,1539676,1663425.435,1572120,1926969,2095503,2741388,3149037,3407788.433
Namibia,"Air transport, passengers carried",430741,452167,454855,485849,540867.9,632330.085,510000,522216,553322,558713,623076,602893
Nauru,"Air transport, passengers carried",..,..,210424,30195.52105,34884.32689,19334.84785,16488,34572,38859,47252,45457,45457
Nepal,"Air transport, passengers carried",528226,520303,484394,917939,901116.1179,776864.1216,643140,517548,510342,634292,2443630.512,3296953
Netherlands,"Air transport, passengers carried",28857440,29601230,29108547,26979676.63,29959476.4,31672223.98,33455251,33956338,35687843,40078714,42763443,43996044.58
New Caledonia,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,"Air transport, passengers carried",12545766,12950904,12104116,13295185,13747024.21,13937353.94,14434056,13618712,14385078,15300409,16271523,17249049.95
Nicaragua,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Niger,"Air transport, passengers carried",..,..,..,0,0,119652,87936,13227.5,15243,15044,14713,..
Nigeria,"Air transport, passengers carried",1363435,1460900,1365343,4197375,4793913.274,4716148.081,4209624,4462001.63,4613169,4110075,4789878,8169192.31
North Macedonia,"Air transport, passengers carried",234366,196420,86868,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Norway,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Oman,"Air transport, passengers carried",..,..,2360682,3262849,3795755,4430383,4994729,5051804,6365784,7709851,9035230,10438241
Pakistan,"Air transport, passengers carried",5439144,5605758,5303268,6588114,7940545.076,7973906.361,7833901.088,7670348.185,8467827,9628354,7260769,6880637
Palau,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Panama,"Air transport, passengers carried",2473261,2762458,6348000,5524157.43,6380080.184,7517581.277,11656416,11812712.84,12193261,13285098,11975372,12939350
Papua New Guinea,"Air transport, passengers carried",918665,904885,847353,1405169,1563593.853,1630308.432,1870968,2074020,1679156,1711274,1864653,964713
Paraguay,"Air transport, passengers carried",458688,465911,428493,715072,845395.6888,794176,711548.47,608844,452004,467713,454276,560631
Peru,"Air transport, passengers carried",5273188,6184410,5843195,7106025.293,8609620.354,10074855.61,12255937.76,12284677,13877662,15081755,16094150,17758527.27
Philippines,"Air transport, passengers carried",8818150,9508389,10480898,22575356,26326620.76,28540727.36,25540880,34897404,37023422,40206684,39341995,43080118
Poland,"Air transport, passengers carried",4269655,4634676,4279072,4099082,4448727.06,4909100.392,5002975.749,5038745.426,4448883,5497163,7376512,9277538
Portugal,"Air transport, passengers carried",10320040,11171020,9903771,10428173.51,11014639,11338080,11860998,12635439,12706909,13105120,15937325,17367956
Puerto Rico,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Qatar,"Air transport, passengers carried",8879109,9702479,10211229,12391268,14568106,17187171,18737348,21425066,25263224,31209097,29949181,29178923
Romania,"Air transport, passengers carried",3003872,3253417,3268022,3733253,3659209,3593312,3087143,3067724.4,3634598,3686938,4423249,4908235
Russian Federation,"Air transport, passengers carried",33187839,37940321,34402844,43855539,50555805,58727125,64072322,72189961,76846126,77458318,89373638,99327311
Rwanda,"Air transport, passengers carried",..,..,..,188221,268376.55,593198.45,610992,626928,544541,644559,1031957.04,1073528
Samoa,"Air transport, passengers carried",294927,290503,270908,..,..,..,..,76944,98950,116167,81921,137770
San Marino,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,"Air transport, passengers carried",50440,51921,50716,..,..,..,..,..,..,..,..,..
Saudi Arabia,"Air transport, passengers carried",17141188,16708204,17508200,20323592,23135735,26537661,28252104,32269452,33431736,35092840,37503000,39141660
Senegal,"Air transport, passengers carried",538845,567101,572609,0,391401.4,543987.6,219996,131964,115355,9874,21038,21038
Serbia,"Air transport, passengers carried",1118404,1135322,926618,985072,1149102,1240709,1241352,2187144,2427047,2486009,2442731,2262703
Seychelles,"Air transport, passengers carried",574515,586106,564580,412714,393834,235994,344436,407280,497496,567914,633518,455201
Sierra Leone,"Air transport, passengers carried",20252,21420,21784,0,48789,50193,..,..,..,..,..,..
Singapore,"Air transport, passengers carried",20671341,21050204,18427473,24859825.16,26509929.14,29138458.27,31729241,33643518.42,33585397,35370328,38094990,40401515
Sint Maarten (Dutch part),"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,"Air transport, passengers carried",2679227,2690428,3440816,74856,34859,45111,64008,29031.5983,11098,12928,7925,..
Slovenia,"Air transport, passengers carried",945420,1103685,953378,979803,972711,816630,857000,916981,1045409,1009559,1087075,1094762
Solomon Islands,"Air transport, passengers carried",102090,100558,94027,142660,140183.2639,138160.1153,302412,330456,373739,373467,427806,427806
Somalia,"Air transport, passengers carried",..,..,..,163812.7458,177005.4,178709.7,258336,251652,..,4486,4486,4486
South Africa,"Air transport, passengers carried",12870324,13135437,12503629,15781210,16407784.96,17571565.2,16311250,17026643.22,18882898,19744932,20821044,23921748.07
South Sudan,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Spain,"Air transport, passengers carried",60664991,55213716,49289158,52847712.61,52736140.93,48089178.33,48056735.82,53069339,60564041,66674868,71598374,80672105
Sri Lanka,"Air transport, passengers carried",3206766,2951506,2417713,3008322.692,3665394,4616417,4793393.4,4756131,4911730,5284585,5403577,5882376
St. Kitts and Nevis,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
St. Lucia,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
St. Martin (French part),"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Sudan,"Air transport, passengers carried",598151,617785,606558,580325,947031.4561,777346.3319,541644,501864,496177,292843,557792.04,269958.48
Suriname,"Air transport, passengers carried",324821,329788,303117,214667,204096.676,240525.4415,255204,269148,259682,280090,284935,272347
Sweden,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Switzerland,"Air transport, passengers carried",12298456,14352757,14701206,22146864,24866065,26386306.6,27503416,27923164,27011762,25859918,26732570,28857994
Syrian Arab Republic,"Air transport, passengers carried",1371450,1358473,1342518,1158366,1433766.695,907927.7418,475932,475932,17902,18117,17564,17896.92117
Tajikistan,"Air transport, passengers carried",501178,683248,764505,616999.4123,846967.3803,650130.5474,683060.1575,1064176.328,1034477,1037897,580374,492320
Tanzania,"Air transport, passengers carried",250849,202704,683541,750421,914932.0376,1030203.575,1173942.818,1124913.454,1312807,1179664,1221678,1481557
Thailand,"Air transport, passengers carried",21191723,19993134,19618735,28780723,31940491.98,36392469.35,43029150.6,46546612.48,56447637,62341676,70704889,76053042.75
Timor-Leste,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Togo,"Air transport, passengers carried",..,..,..,663013,832351.1564,745781.7481,840948,426344.0399,420875,475185,500686,566295
Tonga,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,"Air transport, passengers carried",1085650,1102669,1014016,1842253,2625055.713,2625055.713,2865852,2732100,2617843,2598521,2582961,2525130
Tunisia,"Air transport, passengers carried",2054679,2274580,2278964,2739634,3153388.977,3580910.219,4648608,4628511,3496190,3606247,3963968,4274199
Turkey,"Air transport, passengers carried",22895275,25505092,31339441,45665249,53500303,63350312,74413804.62,84574844,96604665,100366461,107917326,115595495.8
Turkmenistan,"Air transport, passengers carried",1850921,1823157,1706055,300970,160243.7654,147500,1800847.458,579715.68,897079,1318350,2136219,2457474
Turks and Caicos Islands,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Uganda,"Air transport, passengers carried",59715,63160,64234,154909,141603,182144.4,198804,163824,41812,52187,14958,21537
Ukraine,"Air transport, passengers carried",1736018,3456288,3427818,3956053,5477654.918,5828107.612,5218814.574,4503610,4620530,5756509,6794396,7854842
United Arab Emirates,"Air transport, passengers carried",..,..,31761631,44948143.85,50342891.8,59948766.7,68151865,75608196,84343562,91763598,95306195,95533069
United Kingdom,"Air transport, passengers carried",101622807,104713553,102464509,101515720.2,111598546.1,115419920.6,118605866,124901676.1,131512994,143781714,151159067,165388610
United States,"Air transport, passengers carried",744302310,701779551,679423408,720497000,730796000,736699000,743171000,762710000,798222000,824039000,849403000,889022000
Uruguay,"Air transport, passengers carried",602996,612644,563632,..,..,..,..,..,..,..,..,..
